,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301,600025.SH,20230103,6.62,6.77,6.6,6.74,6.6,0.14,2.1212,273996.96,184235.856
300,600025.SH,20230104,6.74,6.77,6.68,6.74,6.74,0.0,0.0,219954.79,148104.429
299,600025.SH,20230105,6.76,6.79,6.7,6.73,6.74,-0.01,-0.1484,189174.0,127636.805
298,600025.SH,20230106,6.77,6.78,6.73,6.77,6.73,0.04,0.5944,172674.11,116821.865
297,600025.SH,20230109,6.76,6.78,6.64,6.66,6.77,-0.11,-1.6248,204306.96,136511.24
296,600025.SH,20230110,6.7,6.71,6.64,6.66,6.66,0.0,0.0,132209.56,88083.139
295,600025.SH,20230111,6.66,6.71,6.65,6.67,6.66,0.01,0.1502,123880.34,82788.649
294,600025.SH,20230112,6.66,6.69,6.6,6.64,6.67,-0.03,-0.4498,129331.29,85868.89
293,600025.SH,20230113,6.67,6.7,6.63,6.66,6.64,0.02,0.3012,158054.13,105276.935
292,600025.SH,20230116,6.66,6.72,6.65,6.69,6.66,0.03,0.4505,247757.99,165800.728
291,600025.SH,20230117,6.7,6.71,6.64,6.64,6.69,-0.05,-0.7474,169344.69,112975.025
290,600025.SH,20230118,6.64,6.73,6.64,6.72,6.64,0.08,1.2048,159828.76,107168.192
289,600025.SH,20230119,6.73,6.91,6.69,6.9,6.72,0.18,2.6786,367142.08,251095.771
288,600025.SH,20230120,6.9,6.96,6.84,6.96,6.9,0.06,0.8696,361592.81,249863.503
287,600025.SH,20230130,6.97,6.99,6.71,6.73,6.96,-0.23,-3.3046,481725.78,327621.877
286,600025.SH,20230131,6.75,6.75,6.64,6.68,6.73,-0.05,-0.7429,242556.69,161916.006
285,600025.SH,20230201,6.68,6.69,6.64,6.67,6.68,-0.01,-0.1497,255467.0,170037.461
284,600025.SH,20230202,6.67,6.7,6.64,6.68,6.67,0.01,0.1499,213508.0,142380.847
283,600025.SH,20230203,6.67,6.68,6.61,6.65,6.68,-0.03,-0.4491,202464.74,134439.0
282,600025.SH,20230206,6.62,6.69,6.61,6.65,6.65,0.0,0.0,166606.89,110880.579
281,600025.SH,20230207,6.64,6.69,6.63,6.69,6.65,0.04,0.6015,182302.06,121504.454
280,600025.SH,20230208,6.68,6.72,6.67,6.69,6.69,0.0,0.0,141099.99,94412.255
279,600025.SH,20230209,6.7,6.77,6.69,6.76,6.69,0.07,1.0463,153145.12,103213.791
278,600025.SH,20230210,6.76,6.91,6.74,6.87,6.76,0.11,1.6272,258642.65,176544.053
277,600025.SH,20230213,6.88,6.89,6.78,6.86,6.87,-0.01,-0.1456,208127.35,142107.62
276,600025.SH,20230214,6.84,6.89,6.82,6.88,6.86,0.02,0.2915,148456.46,101784.207
275,600025.SH,20230215,6.89,6.9,6.8,6.88,6.88,0.0,0.0,210256.56,144042.423
274,600025.SH,20230216,6.86,6.95,6.83,6.87,6.88,-0.01,-0.1453,257591.05,177973.463
273,600025.SH,20230217,6.84,6.93,6.84,6.86,6.87,-0.01,-0.1456,163229.0,112363.539
272,600025.SH,20230220,6.86,6.95,6.84,6.94,6.86,0.08,1.1662,174298.0,120269.123
271,600025.SH,20230221,6.95,7.05,6.92,7.01,6.94,0.07,1.0086,200105.18,140194.24
270,600025.SH,20230222,6.99,7.08,6.98,7.04,7.01,0.03,0.428,205423.75,144565.897
269,600025.SH,20230223,7.04,7.11,7.02,7.05,7.04,0.01,0.142,187136.0,131968.711
268,600025.SH,20230224,7.05,7.11,7.03,7.09,7.05,0.04,0.5674,159895.84,113250.906
267,600025.SH,20230227,7.07,7.16,7.06,7.11,7.09,0.02,0.2821,237601.4,168830.287
266,600025.SH,20230228,7.11,7.14,7.08,7.1,7.11,-0.01,-0.1406,180663.19,128273.051
265,600025.SH,20230301,7.11,7.15,7.1,7.15,7.1,0.05,0.7042,182690.33,130305.101
264,600025.SH,20230302,7.15,7.19,7.12,7.18,7.15,0.03,0.4196,169702.89,121532.284
263,600025.SH,20230303,7.18,7.32,7.17,7.3,7.18,0.12,1.6713,221534.29,161111.78
262,600025.SH,20230306,7.3,7.33,7.23,7.26,7.3,-0.04,-0.5479,211413.79,153906.954
261,600025.SH,20230307,7.26,7.35,7.25,7.29,7.26,0.03,0.4132,172433.48,125943.741
260,600025.SH,20230308,7.25,7.28,7.2,7.24,7.29,-0.05,-0.6859,198897.67,143901.584
259,600025.SH,20230309,7.24,7.27,7.15,7.16,7.24,-0.08,-1.105,182550.54,131632.863
