,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
53,601985.SH,20240102,7.51,7.77,7.51,7.68,7.5,0.18,2.4,921640.6,706366.98
52,601985.SH,20240103,7.69,7.97,7.66,7.95,7.68,0.27,3.5156,1683904.6,1326188.318
51,601985.SH,20240104,7.92,7.99,7.83,7.97,7.95,0.02,0.2516,1009724.01,798121.925
50,601985.SH,20240105,7.96,8.03,7.85,7.93,7.97,-0.04,-0.5019,1075550.62,854900.773
49,601985.SH,20240108,7.91,7.99,7.9,7.93,7.93,0.0,0.0,844275.41,670987.54
48,601985.SH,20240109,7.95,8.04,7.85,8.0,7.93,0.07,0.8827,892479.62,711037.592
47,601985.SH,20240110,7.99,8.04,7.87,7.98,8.0,-0.02,-0.25,1014455.01,806740.917
46,601985.SH,20240111,7.96,7.97,7.84,7.88,7.98,-0.1,-1.2531,954774.99,753689.797
45,601985.SH,20240112,7.87,8.01,7.85,7.97,7.88,0.09,1.1421,829640.64,658798.213
44,601985.SH,20240115,7.97,8.1,7.94,7.96,7.97,-0.01,-0.1255,642440.19,514039.082
43,601985.SH,20240116,7.95,7.97,7.86,7.97,7.96,0.01,0.1256,691787.94,547561.699
42,601985.SH,20240117,7.96,8.07,7.94,7.95,7.97,-0.02,-0.2509,827789.08,663728.412
41,601985.SH,20240118,7.93,7.97,7.69,7.94,7.95,-0.01,-0.1258,1149573.77,900640.893
40,601985.SH,20240119,7.91,7.98,7.86,7.89,7.94,-0.05,-0.6297,647254.49,512313.261
39,601985.SH,20240122,7.89,7.95,7.65,7.71,7.89,-0.18,-2.2814,929665.72,725722.426
38,601985.SH,20240123,7.69,7.79,7.55,7.76,7.71,0.05,0.6485,713562.42,548376.204
37,601985.SH,20240124,7.78,8.02,7.74,7.98,7.76,0.22,2.8351,1072498.64,847764.076
36,601985.SH,20240125,7.98,8.24,7.98,8.24,7.98,0.26,3.2581,1231680.45,1004626.421
35,601985.SH,20240126,8.19,8.28,8.1,8.26,8.24,0.02,0.2427,1010621.88,827635.144
34,601985.SH,20240129,8.25,8.45,8.18,8.28,8.26,0.02,0.2421,1193560.32,997763.005
33,601985.SH,20240130,8.23,8.45,8.2,8.3,8.28,0.02,0.2415,1080160.4,903209.922
