,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
53,600011.SH,20240102,7.66,8.04,7.66,8.0,7.7,0.3,3.8961,706040.45,557412.565
52,600011.SH,20240103,7.97,8.37,7.91,8.33,8.0,0.33,4.125,892466.65,731106.627
51,600011.SH,20240104,8.32,8.44,8.16,8.42,8.33,0.09,1.0804,667366.72,554867.871
50,600011.SH,20240105,8.35,8.55,8.28,8.35,8.42,-0.07,-0.8314,663481.33,558303.405
49,600011.SH,20240108,8.3,8.53,8.21,8.45,8.35,0.1,1.1976,613899.36,516924.479
48,600011.SH,20240109,8.44,8.58,8.29,8.55,8.45,0.1,1.1834,523456.29,443583.098
47,600011.SH,20240110,8.51,8.67,8.47,8.58,8.55,0.03,0.3509,376587.62,322723.334
46,600011.SH,20240111,8.57,8.58,8.33,8.37,8.58,-0.21,-2.4476,593593.91,499778.004
45,600011.SH,20240112,8.37,8.52,8.33,8.45,8.37,0.08,0.9558,379272.85,320239.176
44,600011.SH,20240115,8.44,8.65,8.4,8.61,8.45,0.16,1.8935,513193.76,440445.989
43,600011.SH,20240116,8.53,8.72,8.45,8.65,8.61,0.04,0.4646,466145.96,400422.924
42,600011.SH,20240117,8.64,8.71,8.55,8.55,8.65,-0.1,-1.1561,303182.04,261690.45
41,600011.SH,20240118,8.53,8.59,8.18,8.44,8.55,-0.11,-1.2865,767457.42,641446.366
40,600011.SH,20240119,8.41,8.42,8.1,8.18,8.44,-0.26,-3.0806,832206.45,683751.94
39,600011.SH,20240122,8.15,8.28,8.0,8.06,8.18,-0.12,-1.467,529274.61,431698.691
38,600011.SH,20240123,8.04,8.33,7.9,8.25,8.06,0.19,2.3573,534467.13,434096.421
37,600011.SH,20240124,8.29,8.47,8.21,8.45,8.25,0.2,2.4242,427293.42,356688.865
36,600011.SH,20240125,8.47,8.69,8.4,8.69,8.45,0.24,2.8402,451763.4,388152.803
35,600011.SH,20240126,8.64,8.89,8.61,8.88,8.69,0.19,2.1864,504913.98,442877.809
34,600011.SH,20240129,8.9,9.13,8.81,8.92,8.88,0.04,0.4505,615244.14,552003.099
33,600011.SH,20240130,8.86,8.92,8.7,8.75,8.92,-0.17,-1.9058,439099.84,386911.839
32,600011.SH,20240131,8.35,8.94,8.26,8.76,8.75,0.01,0.1143,1049020.21,910634.327
